"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "TypeScript React", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\AboutAstronomy\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\AddPostComponent\AddPostComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 53, 0, 0, 0, 1, 3, 57
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\AddPostComponent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 151, 0, 0, 0, 4, 5, 160
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\AddPostComponent\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 2, 46
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\BlogComponent\BlogContainerComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\BlogComponent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\BlogPostComponent\AddComment\AddCommentComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 5, 43
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\BlogPostComponent\AddComment\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 2, 36
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\BlogPostComponent\BlogPostComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 73, 0, 0, 0, 1, 11, 85
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\BlogPostComponent\Comment\commentComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 7, 109
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\BlogPostComponent\Comment\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 123, 0, 0, 0, 4, 2, 129
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\BlogPostComponent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 125, 0, 0, 0, 5, 4, 134
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\ContactComponent\ContactComponent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Footer\footerComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 6, 41
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Footer\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Form\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 3, 76
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\GetPostsByCategoryComponent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\GetPostsByTagComponent\GetPostsByTagComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\GetPostsByTagComponent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Hero\heroComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\Hero\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\HomepageBlog\BlogCard\BlogCardComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\HomepageBlog\BlogCard\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\frontend\src\components\HomepageBlog\homepageBlogComponents.tsx", "TypeScript React", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
